waktu,node,status,delay_ms,rssi_dbm,snr_db
07:02:03,Node1,reply,1100.8,-56,12.25
07:02:05,Node2,reply,1120.0,-59,9.5
07:02:06,Node3,reply,1100.7,-58,9.75
07:02:07,Node1,reply,1100.3,-55,9.5
07:02:09,Node2,reply,1100.9,-60,9.25
07:02:10,Node3,reply,1100.0,-57,9.75
07:02:11,Node1,reply,1102.2,-55,10.0
07:02:12,Node2,reply,1100.6,-60,9.5
07:02:14,Node3,reply,1100.2,-58,9.75
07:02:15,Node1,reply,1100.6,-55,9.5
07:02:16,Node2,reply,1100.4,-60,9.75
07:02:18,Node3,reply,1100.2,-57,9.5
07:02:19,Node1,reply,1100.5,-56,9.25
07:02:20,Node2,reply,1100.8,-57,10.25
07:02:22,Node3,reply,1100.5,-56,10.25
07:02:23,Node1,reply,1100.8,-66,9.75
07:02:24,Node2,reply,1099.9,-58,10.0
07:02:26,Node3,reply,1100.4,-58,9.75
07:02:27,Node1,reply,1100.5,-76,6.75
07:02:28,Node2,reply,1100.4,-60,9.75
07:02:30,Node3,reply,1100.6,-59,10.0
07:02:31,Node1,reply,1100.2,-76,7.0
07:02:32,Node2,reply,1102.2,-63,9.25
07:02:34,Node3,reply,1099.8,-61,10.0
07:02:35,Node1,reply,1100.8,-68,9.25
07:02:36,Node2,reply,1100.3,-70,9.75
07:02:38,Node3,reply,1100.4,-66,9.75
07:02:39,Node1,reply,1100.6,-69,9.0
07:02:40,Node2,reply,1100.3,-79,9.0
07:02:41,Node3,reply,1100.3,-69,9.75
07:02:43,Node1,reply,1100.7,-69,9.25
07:02:44,Node2,reply,1100.3,-73,10.25
07:02:45,Node3,reply,1100.4,-65,9.75
07:02:47,Node1,reply,1100.3,-68,9.5
07:02:48,Node2,reply,1100.1,-70,10.0
07:02:49,Node3,reply,1100.8,-65,9.5
07:02:51,Node1,reply,1100.5,-70,9.25
07:02:52,Node2,reply,1100.9,-69,9.25
07:02:53,Node3,reply,1102.6,-68,9.75
07:02:55,Node1,reply,1100.7,-69,9.5
07:02:56,Node2,reply,1100.4,-65,9.75
07:02:57,Node3,reply,1100.2,-65,9.75
07:02:59,Node1,reply,1101.1,-69,9.25
07:03:00,Node2,reply,1100.3,-66,9.5
07:03:01,Node3,reply,1100.2,-66,10.0
07:03:03,Node1,reply,1100.3,-68,9.0
07:03:04,Node2,reply,1100.4,-66,9.25
07:03:05,Node3,reply,1100.2,-67,10.0
07:03:07,Node1,reply,1100.7,-68,9.25
07:03:08,Node2,reply,1100.0,-66,9.5
07:03:09,Node3,reply,1100.3,-68,9.5
07:03:11,Node1,reply,1100.3,-69,9.25
07:03:12,Node2,reply,1101.0,-68,9.75
07:03:13,Node3,reply,1100.5,-66,10.0
07:03:14,Node1,reply,1102.4,-67,9.25
07:03:16,Node2,reply,1100.2,-66,9.5
07:03:17,Node3,reply,1100.9,-65,10.25
07:03:18,Node1,reply,1100.2,-67,9.75
07:03:20,Node2,reply,1100.7,-65,9.75
07:03:21,Node3,timeout,,,
07:03:23,Node1,reply,1101.3,-70,8.75
07:03:24,Node2,reply,1100.5,-67,9.75
07:03:25,Node3,reply,1100.6,-65,9.75
07:03:27,Node1,reply,1101.0,-69,9.25
07:03:28,Node2,reply,1100.3,-66,10.0
07:03:29,Node3,reply,1100.2,-65,9.25
07:03:31,Node1,reply,1100.2,-66,9.75
07:03:32,Node2,reply,1100.7,-65,9.5
07:03:33,Node3,reply,1100.9,-65,9.5
07:03:35,Node1,reply,1100.0,-68,9.0
07:03:36,Node2,reply,1100.9,-66,9.5
07:03:37,Node3,reply,1100.8,-65,9.75
07:03:39,Node1,reply,1101.8,-69,8.75
07:03:40,Node2,reply,1100.7,-66,9.5
07:03:41,Node3,reply,1100.4,-66,10.0
07:03:43,Node1,reply,1100.3,-68,9.5
07:03:44,Node2,reply,1100.6,-67,9.5
07:03:45,Node3,reply,1100.3,-66,9.5
07:03:47,Node1,reply,1101.2,-67,9.75
07:03:48,Node2,reply,1100.4,-66,10.0
07:03:49,Node3,reply,1100.3,-65,9.75
07:03:50,Node1,reply,1100.1,-67,9.0
