node,jenis,seq,latency_ms,received_at
node1,raw,12,3972.0,2026-07-22T00:35:32.730Z
node1,prediksi,12,146832.0,2026-07-22T00:35:32.730Z
node2,raw,13,2648.0,2026-07-22T00:35:32.732Z
node2,prediksi,13,145523.0,2026-07-22T00:35:32.732Z
node3,raw,13,1338.0,2026-07-22T00:35:32.732Z
node3,prediksi,13,144203.0,2026-07-22T00:35:32.732Z
node1,raw,13,87.0,2026-07-22T00:35:32.801Z
node2,raw,14,72.0,2026-07-22T00:35:34.102Z
node3,raw,14,85.0,2026-07-22T00:35:35.437Z
node1,raw,14,75.0,2026-07-22T00:35:36.741Z
node2,raw,15,79.0,2026-07-22T00:35:38.063Z
node3,raw,15,72.0,2026-07-22T00:35:39.373Z
node1,raw,15,80.0,2026-07-22T00:35:40.700Z
node2,raw,16,75.0,2026-07-22T00:35:42.012Z
node3,raw,16,70.0,2026-07-22T00:35:43.345Z
node2,raw,17,94.0,2026-07-22T00:35:46.517Z
node3,raw,17,76.0,2026-07-22T00:35:47.676Z
node1,raw,16,331.0,2026-07-22T00:35:49.249Z
node2,raw,18,72.0,2026-07-22T00:35:50.307Z
node3,raw,18,66.0,2026-07-22T00:35:51.620Z
node1,raw,17,68.0,2026-07-22T00:35:52.939Z
node2,raw,19,83.0,2026-07-22T00:35:54.274Z
node3,raw,19,76.0,2026-07-22T00:35:55.585Z
node1,raw,18,70.0,2026-07-22T00:35:56.897Z
node2,raw,20,73.0,2026-07-22T00:35:58.218Z
node3,raw,20,74.0,2026-07-22T00:35:59.537Z
node1,raw,19,72.0,2026-07-22T00:36:00.853Z
node2,raw,21,70.0,2026-07-22T00:36:02.169Z
node3,raw,21,65.0,2026-07-22T00:36:03.482Z
node1,raw,20,117.0,2026-07-22T00:36:04.852Z
node2,raw,22,131.0,2026-07-22T00:36:06.184Z
node3,raw,22,160.0,2026-07-22T00:36:07.551Z
node1,raw,21,72.0,2026-07-22T00:36:08.790Z
node2,raw,23,70.0,2026-07-22T00:36:10.096Z
node3,raw,23,71.0,2026-07-22T00:36:11.415Z
node1,raw,22,70.0,2026-07-22T00:36:12.732Z
node2,raw,24,68.0,2026-07-22T00:36:14.048Z
node3,raw,24,73.0,2026-07-22T00:36:15.373Z
node1,raw,23,76.0,2026-07-22T00:36:16.694Z
node2,raw,25,72.0,2026-07-22T00:36:18.007Z
node2,prediksi,25,75.0,2026-07-22T00:36:18.086Z
node3,raw,25,73.0,2026-07-22T00:36:19.326Z
node3,prediksi,25,70.0,2026-07-22T00:36:19.402Z
node1,raw,24,74.0,2026-07-22T00:36:20.645Z
node2,raw,26,83.0,2026-07-22T00:36:21.972Z
node3,raw,26,71.0,2026-07-22T00:36:23.278Z
node1,raw,25,72.0,2026-07-22T00:36:24.597Z
node1,prediksi,25,65.0,2026-07-22T00:36:24.665Z
node2,raw,27,125.0,2026-07-22T00:36:25.968Z
node2,prediksi,27,88.0,2026-07-22T00:36:26.058Z
node3,raw,27,80.0,2026-07-22T00:36:27.240Z
node3,prediksi,27,73.0,2026-07-22T00:36:27.316Z
node1,raw,26,81.0,2026-07-22T00:36:28.580Z
node2,raw,28,76.0,2026-07-22T00:36:29.892Z
node3,raw,28,73.0,2026-07-22T00:36:31.207Z
node1,raw,27,68.0,2026-07-22T00:36:32.519Z
node1,prediksi,27,74.0,2026-07-22T00:36:32.596Z
node2,raw,29,78.0,2026-07-22T00:36:33.848Z
node2,prediksi,29,71.0,2026-07-22T00:36:33.925Z
node3,raw,29,71.0,2026-07-22T00:36:35.158Z
node3,prediksi,29,64.0,2026-07-22T00:36:35.226Z
node1,raw,28,81.0,2026-07-22T00:36:36.489Z
node2,raw,30,81.0,2026-07-22T00:36:37.807Z
node3,raw,30,82.0,2026-07-22T00:36:39.138Z
node1,raw,29,89.0,2026-07-22T00:36:40.450Z
node1,prediksi,29,68.0,2026-07-22T00:36:40.521Z
node2,raw,31,76.0,2026-07-22T00:36:41.755Z
node2,prediksi,31,68.0,2026-07-22T00:36:41.828Z
node3,raw,31,71.0,2026-07-22T00:36:43.068Z
node3,prediksi,31,67.0,2026-07-22T00:36:43.139Z
node1,raw,30,69.0,2026-07-22T00:36:44.384Z
node2,raw,32,74.0,2026-07-22T00:36:45.707Z
node3,raw,32,81.0,2026-07-22T00:36:47.031Z
node1,raw,31,82.0,2026-07-22T00:36:48.351Z
node1,prediksi,31,96.0,2026-07-22T00:36:48.451Z
node2,raw,33,72.0,2026-07-22T00:36:49.678Z
node2,prediksi,33,76.0,2026-07-22T00:36:49.757Z
node3,raw,33,91.0,2026-07-22T00:36:51.015Z
node3,prediksi,33,163.0,2026-07-22T00:36:51.181Z
node1,raw,32,87.0,2026-07-22T00:36:52.438Z
node2,raw,34,69.0,2026-07-22T00:36:53.628Z
node3,raw,34,84.0,2026-07-22T00:36:54.961Z
node1,raw,33,84.0,2026-07-22T00:36:56.279Z
node1,prediksi,33,75.0,2026-07-22T00:36:56.356Z
node2,raw,35,79.0,2026-07-22T00:36:57.595Z
node2,prediksi,35,70.0,2026-07-22T00:36:57.670Z
node3,raw,35,85.0,2026-07-22T00:36:58.918Z
node3,prediksi,35,74.0,2026-07-22T00:36:58.995Z
node1,raw,34,69.0,2026-07-22T00:37:00.219Z
node2,raw,36,73.0,2026-07-22T00:37:01.541Z
node3,raw,36,81.0,2026-07-22T00:37:02.867Z
node1,raw,35,76.0,2026-07-22T00:37:04.180Z
node1,prediksi,35,70.0,2026-07-22T00:37:04.254Z
node2,raw,37,79.0,2026-07-22T00:37:05.618Z
node2,prediksi,37,72.0,2026-07-22T00:37:05.694Z
node3,raw,37,75.0,2026-07-22T00:37:07.112Z
node3,prediksi,37,78.0,2026-07-22T00:37:07.196Z
node1,raw,36,65.0,2026-07-22T00:37:08.122Z
node2,raw,38,70.0,2026-07-22T00:37:09.446Z
node3,raw,38,71.0,2026-07-22T00:37:10.785Z
node1,raw,37,82.0,2026-07-22T00:37:12.113Z
node1,prediksi,37,76.0,2026-07-22T00:37:12.193Z
node2,raw,39,82.0,2026-07-22T00:37:13.431Z
node2,prediksi,39,67.0,2026-07-22T00:37:13.502Z
node3,raw,39,73.0,2026-07-22T00:37:14.739Z
node3,prediksi,39,71.0,2026-07-22T00:37:14.812Z
node1,raw,38,73.0,2026-07-22T00:37:16.057Z
node2,raw,40,73.0,2026-07-22T00:37:17.376Z
node3,raw,40,68.0,2026-07-22T00:37:18.691Z
node1,raw,39,66.0,2026-07-22T00:37:20.007Z
node1,prediksi,39,69.0,2026-07-22T00:37:20.080Z
node2,raw,41,78.0,2026-07-22T00:37:21.337Z
node2,prediksi,41,69.0,2026-07-22T00:37:21.412Z
node3,raw,41,71.0,2026-07-22T00:37:22.648Z
node3,prediksi,41,69.0,2026-07-22T00:37:22.723Z
node1,raw,40,76.0,2026-07-22T00:37:23.971Z
node2,raw,42,93.0,2026-07-22T00:37:25.305Z
node3,raw,42,74.0,2026-07-22T00:37:26.604Z
node1,raw,41,78.0,2026-07-22T00:37:27.925Z
node1,prediksi,41,69.0,2026-07-22T00:37:27.997Z
node2,raw,43,90.0,2026-07-22T00:37:29.256Z
node2,prediksi,43,77.0,2026-07-22T00:37:29.336Z
node3,raw,43,69.0,2026-07-22T00:37:30.553Z
node3,prediksi,43,107.0,2026-07-22T00:37:30.664Z
node1,raw,42,79.0,2026-07-22T00:37:31.901Z
node2,raw,44,84.0,2026-07-22T00:37:33.224Z
node3,raw,44,77.0,2026-07-22T00:37:34.535Z
node1,raw,43,78.0,2026-07-22T00:37:35.853Z
node1,prediksi,43,74.0,2026-07-22T00:37:35.932Z
node2,raw,45,70.0,2026-07-22T00:37:37.164Z
node2,prediksi,45,71.0,2026-07-22T00:37:37.238Z
node3,raw,45,77.0,2026-07-22T00:37:38.488Z
node3,prediksi,45,72.0,2026-07-22T00:37:38.567Z
node1,raw,44,78.0,2026-07-22T00:37:39.809Z
node2,raw,46,101.0,2026-07-22T00:37:41.150Z
node3,raw,46,88.0,2026-07-22T00:37:42.456Z
node1,raw,45,76.0,2026-07-22T00:37:43.761Z
node1,prediksi,45,73.0,2026-07-22T00:37:43.838Z
node2,raw,47,73.0,2026-07-22T00:37:45.076Z
node2,prediksi,47,94.0,2026-07-22T00:37:45.174Z
node3,raw,47,76.0,2026-07-22T00:37:46.397Z
node3,prediksi,47,74.0,2026-07-22T00:37:46.476Z
node1,raw,46,86.0,2026-07-22T00:37:47.725Z
node2,raw,48,70.0,2026-07-22T00:37:49.027Z
node3,raw,48,81.0,2026-07-22T00:37:50.356Z
node1,raw,47,80.0,2026-07-22T00:37:51.673Z
node1,prediksi,47,76.0,2026-07-22T00:37:51.755Z
node2,raw,49,74.0,2026-07-22T00:37:53.005Z
node2,prediksi,49,69.0,2026-07-22T00:37:53.078Z
node3,raw,49,87.0,2026-07-22T00:37:54.335Z
node3,prediksi,49,72.0,2026-07-22T00:37:54.411Z
node1,raw,48,77.0,2026-07-22T00:37:55.643Z
node2,raw,50,80.0,2026-07-22T00:37:56.964Z
node3,raw,50,81.0,2026-07-22T00:37:58.283Z
node1,raw,49,84.0,2026-07-22T00:37:59.604Z
node1,prediksi,49,75.0,2026-07-22T00:37:59.684Z
node2,raw,51,248.0,2026-07-22T00:38:01.088Z
node2,prediksi,51,92.0,2026-07-22T00:38:01.185Z
node3,raw,51,74.0,2026-07-22T00:38:02.231Z
node3,prediksi,51,68.0,2026-07-22T00:38:02.305Z
node1,raw,50,77.0,2026-07-22T00:38:03.553Z
node2,raw,52,70.0,2026-07-22T00:38:04.864Z
node3,raw,52,85.0,2026-07-22T00:38:06.197Z
node1,raw,51,69.0,2026-07-22T00:38:07.499Z
node1,prediksi,51,69.0,2026-07-22T00:38:07.571Z
node2,raw,53,85.0,2026-07-22T00:38:08.833Z
node2,prediksi,53,86.0,2026-07-22T00:38:08.922Z
node3,raw,53,75.0,2026-07-22T00:38:10.141Z
node3,prediksi,53,77.0,2026-07-22T00:38:10.223Z
node2,raw,54,83.0,2026-07-22T00:38:13.156Z
node3,raw,54,69.0,2026-07-22T00:38:14.459Z
node1,raw,52,85.0,2026-07-22T00:38:15.793Z
node2,raw,55,79.0,2026-07-22T00:38:17.118Z
node2,prediksi,55,78.0,2026-07-22T00:38:17.204Z
node3,raw,55,83.0,2026-07-22T00:38:18.440Z
node3,prediksi,55,75.0,2026-07-22T00:38:18.520Z
node2,raw,56,71.0,2026-07-22T00:38:21.435Z
node3,raw,56,80.0,2026-07-22T00:38:22.761Z
node1,raw,53,82.0,2026-07-22T00:38:24.082Z
node1,prediksi,53,92.0,2026-07-22T00:38:24.186Z
node2,raw,57,72.0,2026-07-22T00:38:25.389Z
node2,prediksi,57,71.0,2026-07-22T00:38:25.463Z
node3,raw,57,81.0,2026-07-22T00:38:26.717Z
node3,prediksi,57,94.0,2026-07-22T00:38:26.815Z
node1,raw,54,80.0,2026-07-22T00:38:28.035Z
node2,raw,58,75.0,2026-07-22T00:38:29.348Z
node3,raw,58,79.0,2026-07-22T00:38:30.670Z
node1,raw,55,87.0,2026-07-22T00:38:31.996Z
node1,prediksi,55,71.0,2026-07-22T00:38:32.072Z
node2,raw,59,87.0,2026-07-22T00:38:33.317Z
node2,prediksi,59,102.0,2026-07-22T00:38:33.424Z
node3,raw,59,67.0,2026-07-22T00:38:34.613Z
node3,prediksi,59,67.0,2026-07-22T00:38:34.684Z
node1,raw,56,82.0,2026-07-22T00:38:35.945Z
node2,raw,60,70.0,2026-07-22T00:38:37.251Z
node3,raw,60,87.0,2026-07-22T00:38:38.587Z
node1,raw,57,79.0,2026-07-22T00:38:39.896Z
node1,prediksi,57,71.0,2026-07-22T00:38:39.971Z
node2,raw,61,74.0,2026-07-22T00:38:41.229Z
node2,prediksi,61,69.0,2026-07-22T00:38:41.301Z
node3,raw,61,87.0,2026-07-22T00:38:42.559Z
node3,prediksi,61,69.0,2026-07-22T00:38:42.633Z
node1,raw,58,79.0,2026-07-22T00:38:43.869Z
node2,raw,62,89.0,2026-07-22T00:38:45.197Z
node3,raw,62,82.0,2026-07-22T00:38:46.508Z
node1,raw,59,83.0,2026-07-22T00:38:47.827Z
node1,prediksi,59,77.0,2026-07-22T00:38:47.909Z
node3,raw,63,67.0,2026-07-22T00:38:50.817Z
node3,prediksi,63,85.0,2026-07-22T00:38:50.905Z
node1,raw,60,83.0,2026-07-22T00:38:52.150Z
node2,raw,63,79.0,2026-07-22T00:38:53.465Z
node2,prediksi,63,82.0,2026-07-22T00:38:53.551Z
node3,raw,64,92.0,2026-07-22T00:38:54.796Z
node1,raw,61,78.0,2026-07-22T00:38:56.100Z
node1,prediksi,61,70.0,2026-07-22T00:38:56.176Z
node2,raw,64,75.0,2026-07-22T00:38:57.414Z
node3,raw,65,74.0,2026-07-22T00:38:58.731Z
node3,prediksi,65,67.0,2026-07-22T00:38:58.803Z
node1,raw,62,72.0,2026-07-22T00:39:00.048Z
node2,raw,65,94.0,2026-07-22T00:39:01.388Z
node2,prediksi,65,84.0,2026-07-22T00:39:01.475Z
node3,raw,66,132.0,2026-07-22T00:39:02.743Z
node1,raw,63,79.0,2026-07-22T00:39:04.008Z
node1,prediksi,63,74.0,2026-07-22T00:39:04.086Z
node2,raw,66,77.0,2026-07-22T00:39:05.344Z
node3,raw,67,89.0,2026-07-22T00:39:06.675Z
node3,prediksi,67,89.0,2026-07-22T00:39:06.772Z
node1,raw,64,66.0,2026-07-22T00:39:07.968Z
node2,raw,67,81.0,2026-07-22T00:39:09.302Z
node2,prediksi,67,67.0,2026-07-22T00:39:09.372Z
node3,raw,68,71.0,2026-07-22T00:39:10.610Z
node1,raw,65,73.0,2026-07-22T00:39:11.929Z
node1,prediksi,65,65.0,2026-07-22T00:39:11.996Z
node2,raw,68,84.0,2026-07-22T00:39:13.260Z
node3,raw,69,87.0,2026-07-22T00:39:14.581Z
node3,prediksi,69,71.0,2026-07-22T00:39:14.655Z
node1,raw,66,69.0,2026-07-22T00:39:15.881Z
node2,raw,69,70.0,2026-07-22T00:39:17.200Z
node2,prediksi,69,107.0,2026-07-22T00:39:17.311Z
node3,raw,70,69.0,2026-07-22T00:39:18.517Z
node1,raw,67,88.0,2026-07-22T00:39:19.854Z
node1,prediksi,67,81.0,2026-07-22T00:39:19.946Z
node2,raw,70,81.0,2026-07-22T00:39:21.165Z
node3,raw,71,72.0,2026-07-22T00:39:22.474Z
node3,prediksi,71,71.0,2026-07-22T00:39:22.549Z
node1,raw,68,78.0,2026-07-22T00:39:23.799Z
node2,raw,71,71.0,2026-07-22T00:39:25.109Z
node2,prediksi,71,67.0,2026-07-22T00:39:25.183Z
node3,raw,72,70.0,2026-07-22T00:39:26.446Z
node1,raw,69,78.0,2026-07-22T00:39:27.771Z
node1,prediksi,69,80.0,2026-07-22T00:39:27.856Z
node3,raw,73,74.0,2026-07-22T00:39:30.776Z
node3,prediksi,73,67.0,2026-07-22T00:39:30.847Z
node1,raw,70,77.0,2026-07-22T00:39:32.095Z
node2,raw,72,73.0,2026-07-22T00:39:33.409Z
node3,raw,74,76.0,2026-07-22T00:39:34.729Z
node1,raw,71,73.0,2026-07-22T00:39:36.044Z
node1,prediksi,71,69.0,2026-07-22T00:39:36.115Z
node2,raw,73,70.0,2026-07-22T00:39:37.361Z
node2,prediksi,73,67.0,2026-07-22T00:39:37.433Z
node1,raw,72,71.0,2026-07-22T00:39:40.370Z
node2,raw,74,70.0,2026-07-22T00:39:41.686Z
node3,raw,75,79.0,2026-07-22T00:39:43.013Z
node3,prediksi,75,66.0,2026-07-22T00:39:43.083Z
node1,raw,73,68.0,2026-07-22T00:39:44.320Z
node1,prediksi,73,74.0,2026-07-22T00:39:44.397Z
node2,raw,75,73.0,2026-07-22T00:39:45.644Z
node2,prediksi,75,75.0,2026-07-22T00:39:45.725Z
node3,raw,76,66.0,2026-07-22T00:39:46.954Z
node1,raw,74,65.0,2026-07-22T00:39:48.271Z
node2,raw,76,74.0,2026-07-22T00:39:49.598Z
node3,raw,77,70.0,2026-07-22T00:39:50.912Z
node3,prediksi,77,66.0,2026-07-22T00:39:50.981Z
node1,raw,75,65.0,2026-07-22T00:39:52.225Z
node1,prediksi,75,67.0,2026-07-22T00:39:52.295Z
node2,raw,77,69.0,2026-07-22T00:39:53.567Z
node2,prediksi,77,74.0,2026-07-22T00:39:53.643Z
node3,raw,78,75.0,2026-07-22T00:39:54.890Z
node1,raw,76,73.0,2026-07-22T00:39:56.206Z
node2,raw,78,79.0,2026-07-22T00:39:57.530Z
node3,raw,79,76.0,2026-07-22T00:39:58.845Z
node3,prediksi,79,74.0,2026-07-22T00:39:58.923Z
node1,raw,77,65.0,2026-07-22T00:40:00.152Z
node1,prediksi,77,75.0,2026-07-22T00:40:00.231Z
node2,raw,79,69.0,2026-07-22T00:40:01.476Z
node2,prediksi,79,71.0,2026-07-22T00:40:01.551Z
node3,raw,80,71.0,2026-07-22T00:40:02.796Z
node1,raw,78,70.0,2026-07-22T00:40:04.113Z
node2,raw,80,68.0,2026-07-22T00:40:05.429Z
node3,raw,81,74.0,2026-07-22T00:40:06.753Z
node3,prediksi,81,72.0,2026-07-22T00:40:06.829Z
node1,raw,79,72.0,2026-07-22T00:40:08.068Z
node1,prediksi,79,82.0,2026-07-22T00:40:08.158Z
node2,raw,81,82.0,2026-07-22T00:40:09.395Z
node2,prediksi,81,67.0,2026-07-22T00:40:09.466Z
node3,raw,82,65.0,2026-07-22T00:40:10.770Z
node1,raw,80,63.0,2026-07-22T00:40:12.086Z
node2,raw,82,71.0,2026-07-22T00:40:13.412Z
node3,raw,83,79.0,2026-07-22T00:40:14.737Z
node3,prediksi,83,76.0,2026-07-22T00:40:14.817Z
node1,raw,81,68.0,2026-07-22T00:40:16.045Z
node1,prediksi,81,108.0,2026-07-22T00:40:16.159Z
node2,raw,83,66.0,2026-07-22T00:40:17.361Z
node2,prediksi,83,65.0,2026-07-22T00:40:17.429Z
node3,raw,84,73.0,2026-07-22T00:40:18.705Z
node1,raw,82,78.0,2026-07-22T00:40:20.027Z
node2,raw,84,74.0,2026-07-22T00:40:21.342Z
node3,raw,85,78.0,2026-07-22T00:40:22.663Z
node3,prediksi,85,75.0,2026-07-22T00:40:22.736Z
node1,raw,83,67.0,2026-07-22T00:40:23.970Z
node1,prediksi,83,69.0,2026-07-22T00:40:24.046Z
node2,raw,85,79.0,2026-07-22T00:40:25.301Z
node2,prediksi,85,75.0,2026-07-22T00:40:25.379Z
node3,raw,86,82.0,2026-07-22T00:40:26.624Z
node1,raw,84,77.0,2026-07-22T00:40:27.937Z
node2,raw,86,83.0,2026-07-22T00:40:29.261Z
node3,raw,87,82.0,2026-07-22T00:40:30.578Z
node3,prediksi,87,73.0,2026-07-22T00:40:30.655Z
node1,raw,85,78.0,2026-07-22T00:40:31.892Z
node1,prediksi,85,67.0,2026-07-22T00:40:31.963Z
node2,raw,87,73.0,2026-07-22T00:40:33.205Z
node2,prediksi,87,73.0,2026-07-22T00:40:33.281Z
node3,raw,88,67.0,2026-07-22T00:40:34.516Z
node1,raw,86,76.0,2026-07-22T00:40:35.844Z
node2,raw,88,77.0,2026-07-22T00:40:37.164Z
node3,raw,89,74.0,2026-07-22T00:40:38.478Z
node3,prediksi,89,86.0,2026-07-22T00:40:38.568Z
node1,raw,87,74.0,2026-07-22T00:40:39.815Z
node1,prediksi,87,73.0,2026-07-22T00:40:39.888Z
node2,raw,89,65.0,2026-07-22T00:40:41.123Z
node2,prediksi,89,66.0,2026-07-22T00:40:41.193Z
node3,raw,90,76.0,2026-07-22T00:40:42.453Z
node1,raw,88,75.0,2026-07-22T00:40:43.770Z
node2,raw,90,93.0,2026-07-22T00:40:45.105Z
node3,raw,91,82.0,2026-07-22T00:40:46.412Z
node3,prediksi,91,82.0,2026-07-22T00:40:46.497Z
node1,raw,89,80.0,2026-07-22T00:40:47.730Z
node1,prediksi,89,80.0,2026-07-22T00:40:47.814Z
node2,raw,91,80.0,2026-07-22T00:40:49.049Z
node2,prediksi,91,74.0,2026-07-22T00:40:49.119Z
node3,raw,92,83.0,2026-07-22T00:40:50.370Z
node1,raw,90,72.0,2026-07-22T00:40:51.676Z
node2,raw,92,69.0,2026-07-22T00:40:52.991Z
node3,raw,93,76.0,2026-07-22T00:40:54.316Z
node3,prediksi,93,102.0,2026-07-22T00:40:54.422Z
node1,raw,91,88.0,2026-07-22T00:40:55.646Z
node1,prediksi,91,69.0,2026-07-22T00:40:55.719Z
node2,raw,93,80.0,2026-07-22T00:40:56.956Z
node2,prediksi,93,73.0,2026-07-22T00:40:57.036Z
node3,raw,94,70.0,2026-07-22T00:40:58.264Z
node1,raw,92,81.0,2026-07-22T00:40:59.593Z
node2,raw,94,80.0,2026-07-22T00:41:00.930Z
node3,raw,95,82.0,2026-07-22T00:41:02.249Z
node3,prediksi,95,65.0,2026-07-22T00:41:02.320Z
node1,raw,93,77.0,2026-07-22T00:41:03.562Z
node1,prediksi,93,66.0,2026-07-22T00:41:03.632Z
node2,raw,95,81.0,2026-07-22T00:41:04.884Z
node2,prediksi,95,90.0,2026-07-22T00:41:04.978Z
node3,raw,96,77.0,2026-07-22T00:41:06.198Z
node1,raw,94,73.0,2026-07-22T00:41:07.512Z
node2,raw,96,69.0,2026-07-22T00:41:08.828Z
node3,raw,97,71.0,2026-07-22T00:41:10.148Z
node3,prediksi,97,97.0,2026-07-22T00:41:10.250Z
node1,raw,95,73.0,2026-07-22T00:41:11.468Z
node1,prediksi,95,66.0,2026-07-22T00:41:11.538Z
node3,raw,98,78.0,2026-07-22T00:41:14.479Z
node1,raw,96,73.0,2026-07-22T00:41:15.793Z
node2,raw,97,83.0,2026-07-22T00:41:17.121Z
node2,prediksi,97,71.0,2026-07-22T00:41:17.195Z
node3,raw,99,82.0,2026-07-22T00:41:18.437Z
node3,prediksi,99,69.0,2026-07-22T00:41:18.510Z
node1,raw,97,71.0,2026-07-22T00:41:19.745Z
node1,prediksi,97,68.0,2026-07-22T00:41:19.818Z
node2,raw,98,70.0,2026-07-22T00:41:21.062Z
node3,raw,100,93.0,2026-07-22T00:41:22.402Z
node1,raw,98,82.0,2026-07-22T00:41:23.710Z
